gh_team_size,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_testduration,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_description_complexity,tr_jobs,gh_num_commits_on_files_touched,gh_sloc,tr_log_setup_time,tr_log_buildduration,gh_is_pr,tr_log_bool_tests_ran,tr_log_bool_tests_failed,gh_by_core_team_member,tr_duration
83,,0,,30,0,0,0,1,0,0,1,0,0,,,,,,263.176367010898,0.243896635416171,2.96245181554276,,"[41288758, 41288759, 41288760, 41288761, 41288762, 41288763, 41288764, 41288765, 41288766]",60,168104,2,,false,false,,true,2154
96,,1,,5,17,0,0,2,0,0,2,0,0,,,,,,268.95759705237,0.205076322571384,3.02829369663743,,"[15061309, 15061310, 15061313, 15061314, 15061315, 15061316, 15061317]",77,146287,,,false,false,,true,2413
83,0,0,0,8655,438,0,256,6,0,0,262,0,0,,,,,,273.593667217253,0.255555209274784,3.10406083460592,6.0,"[41918558, 41918559, 41918560, 41918561, 41918562, 41918563, 41918564, 41918565, 41918566]",949,160435,0,,true,false,,true,2402
88,,0,,274,0,0,0,9,0,0,9,0,0,,,,,,263.707244672751,0.202392081650748,2.33232779807053,,"[5414282, 5414283, 5414281]",219,103759,,,false,false,,true,511
88,,0,,648,205,14,0,5,0,0,19,0,0,,,,,,263.374367234238,0.201334560515416,2.32014112593956,,"[5414606, 5414607, 5414605]",210,104304,,,false,false,,true,582
88,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,265.149851532887,0.200502210298175,2.60652873387628,4.0,"[5461151, 5461153, 5461152]",12,104737,,,true,false,,true,420
89,,0,,3,11,0,0,2,0,0,2,0,0,,,,,,265.211621268105,0.200498381691633,2.60647896199124,,"[5473494, 5473493, 5473495]",98,104739,,,false,false,,true,658
89,,0,,3,11,0,0,2,0,0,2,0,0,,,,,,265.211621268105,0.200498381691633,2.60647896199124,,"[5473494, 5473493, 5473495]",98,104739,,,false,false,,true,658
98,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,268.62156072916,0.204820099679115,3.02451013859493,,"[15187747, 15187748, 15187749, 15187750, 15187751, 15187752, 15187753]",98,146470,,,false,false,,true,2724
98,,0,,331,0,1,0,2,0,0,3,0,0,,,,,,268.756693337699,0.204637076145456,3.02180749108123,,"[15233157, 15233159, 15233162, 15233164, 15233166, 15233168, 15233169]",33,146601,,,false,false,,true,2837
